symbol,REPORT_DATE,quarterly_financial_score_x,industry_type_name,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,NETPROFIT,NETPROFIT_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,BASIC_EPS,roe,roa,gross_margin,profit_margin,debt_to_asset,current_ratio,quick_ratio,debt_to_equity,asset_turnover,inventory_turnover,receivables_turnover,dt_pred,rf_pred,svr_pred,latest_financial_score,quarterly_financial_score_y
SH688012,2025-09-30,5.0,专用设备制造业,20703639370.54,161.9602161776,3087310258.44,64.93816215609999,2537364433.77,44.834850145299995,5.05,0.1525475146381921,0.1102524186116439,0.4036753347487435,0.1491192057196017,0.0246786712168273,2.8569470024025225,1.6972073776836514,0.0342852423740623,0.7393576037345488,1.6210225054785152,12.019368769151509,5.0,4.35,4.078128162715354,4.4760427209051175,5.0
SH688038,2025-09-30,,软件和信息技术服务业,453876863.06000006,-93.2195189583,-2946762.28,-1140.9524669574,-6311207.5200000005,-1084.174266346,-0.01,-0.0023180921122221,-0.0025950358413787,0.2365169094019429,-0.0064924267347164,0.1843203547488285,1.7455957164218363,1.7051423637808998,0.3326612263499023,0.3997019831586982,16.803966229819498,0.8257247726720565,3.0,2.1,2.168642724999853,2.4228809083332843,
SH688233,2025-09-30,4.0,计算机、通信和其他电子设备制造业,844481342.47,275.2574231131,201681358.43,2683.6485386266004,170520784.92000002,4046.8904697512,1.04,0.0964611485046958,0.0992643921735538,0.3824931029088719,0.2388227522470867,0.0120953634658959,12.825590828238576,11.616717007692191,0.0130348609590229,0.4156404330809095,4.86838067147545,8.467481065417438,4.0,3.98,3.8997718765735314,3.959923958857844,4.0
SH688249,2025-09-30,,计算机、通信和其他电子设备制造业,22670907703.6,88.4980540672,1009490578.35,609.8862190252,733626825.64,500.1342255489001,0.66,0.0613602612160502,0.0196757868236452,0.2582913691761953,0.0445280176492315,0.3776426400390754,1.253068419259887,1.0181241476406842,0.7452354106981228,0.4418743043681131,10.664297624901248,20.67825658181571,4.0,4.19,3.7945178002076823,3.9948392667358945,
SH688327,2025-09-30,,软件和信息技术服务业,787919970.8199999,30.9514054653,-1190333947.4499998,70.9233307809,-1305778698.75,60.9204505455,-1.13,-1.1338073674308118,-0.6343828417628499,0.3646610221098697,-1.5107295049409672,0.1963991496355414,1.8891724964773935,1.805034513132018,0.4824762830320565,0.4199182181112156,6.952214494388894,2.82415383164254,4.0,4.01,2.9271625876643723,3.6457208625547906,
SH688352,2025-09-30,,计算机、通信和其他电子设备制造业,4509983116.07,50.5053019715,541581246.55,-126.3420408516,523253987.1,-116.4950712256,0.4499999999999999,0.0901302401875413,0.0758422464351617,0.2900629265880594,0.1200849831610753,0.0729148672384559,3.2468669306176876,2.568468951769716,0.0883879587075395,0.6315714458104318,6.309778763067347,16.938106910837874,1.0,1.39,3.120767502709842,1.8369225009032804,
SH688410,2025-09-30,3.0,专用设备制造业,1548769855.0,57.895329097200005,254001903.52,37.325577208,230862226.08,66.6280404332,0.8062,0.1494240468071334,0.1213882100095707,0.4693914693929783,0.1640023549657737,0.0184059414266894,6.357188635625114,5.820473413355137,0.0226990525460365,0.7401613838710037,5.7098532526868,13.376365293165993,3.0,3.54,3.1001867153852434,3.2133955717950813,3.0
SH688484,2025-09-30,,软件和信息技术服务业,6434893138.61,114.2921421048,644193890.99,-58.231401045400006,583960314.71,-83.4928986007,1.53,0.1620348859492636,0.1360447650162586,0.3824604939937852,0.1001094932136126,0.0619167780337338,5.690066745206109,4.672369085207696,0.073313977199351,1.3589596815355731,5.638319697715417,23.01394551759979,2.0,1.55,3.231517281961578,2.260505760653859,
SH688556,2025-09-30,,专用设备制造业,7999566293.42,-144.524907571,-39018238.31999999,-489.7554068341,-179610298.94,-566.0882803494,-0.0999999999999999,-0.0102915931070123,-0.0050368025254056,0.1637482625986191,-0.0048775442178776,0.1613041136194145,2.022588431964953,1.6625465831694346,0.3199902402952292,1.0326513303445348,7.837667942597863,3.4857972783479827,3.0,2.12,1.8290264203339555,2.3163421401113187,
SH688563,2025-09-30,,铁路、船舶、航空航天和其他运输设备制造业,6249072255.679999,-20.7329463361,1250994048.6899998,-40.5157475456,1112078408.02,-43.6232971045,2.78,0.1197891370138254,0.1054664710463422,0.3080596342089373,0.2001887636285414,0.0307256107360411,8.008103262609287,7.071453515923812,0.0349956099534888,0.5268351186884774,3.4935191869951203,3.2153798280271544,1.0,1.38,2.616865049672657,1.665621683224219,
