symbol,total_dividend_yield_1Y,total_dividend_yield_3Y,total_dividend_yield_5Y,total_dividend_1Y,total_dividend_3Y,total_dividend_5Y
SH600728,,0.004845953003,0.009962119975,,0.1856,0.5306
SH600729,0.05239142246,0.131990204362,0.37200987377600003,15.210600000000001,35.571600000000004,110.3716
SH600730,0.001582278481,0.001582278481,0.005013670049,0.1,0.1,0.268
SH600731,0.027548209366,0.070283252101,0.074406963441,2.0,4.0,4.4
SH600732,,0.013617231988,0.019844989995,,5.5,6.2
SH600735,,0.016304912478999997,0.027980926881,,0.75,1.58
SH600736,0.003260869565,0.019092290486,0.041687301079,0.18,0.9199999999999999,2.02
SH600737,0.036123348018,0.18554241018599998,0.20777673925,4.1,17.4,19.3
SH600738,0.002568493151,0.013379303962000001,0.023524231498000002,0.15,0.55,1.25
SH600739,0.001636661211,0.024209513052,0.050282921214,0.2,2.7022,7.102200000000001
SH600740,0.005449591281,0.055419486186999996,0.107639477263,0.2,2.7,6.2
SH600741,0.042530568846,0.136026875267,0.213697329006,8.0,24.3,40.3
SH600742,0.053582176945000004,0.113910643248,0.176254540858,5.3,10.3,16.3
SH600743,,,0.028708133971,,,0.6
SH600745,,0.004310344828,0.009137283425,,1.25,4.938
SH600746,0.00625,0.036415912519,0.127075077714,0.5,2.5,14.2
SH600748,,0.012319511523,0.074700199647,,0.41000000000000003,2.84
SH600750,0.053174171901999995,0.129765170195,0.19638949627399999,12.0,30.5,39.7
SH600753,,,0.0,,,0.0
SH600754,0.016821602479,0.044182447971,0.04603281091,3.8,10.6,11.709999999999999
SH600755,0.027243589744,0.167675828154,0.287370543509,1.7,13.2,22.8
SH600756,,0.0049601228649999995,0.0049601228649999995,,0.6499999999999999,0.6499999999999999
SH600757,0.041414141414,0.120760875676,0.248788240978,4.1,11.3,18.5
SH600758,0.008,0.027115815691,0.027115815691,0.32,1.12,1.12
SH600760,0.005453020134,0.021977685349999998,0.032312487994,2.6,10.6,17.1
SH600761,0.041655501762,0.087799476785,0.151663844356,7.0,17.0,24.0
SH600763,0.010832932114,0.018950129804,0.018950129804,4.5,8.8565,8.8565
SH600764,0.001625344353,0.018879622353,0.043486719091,0.59,4.37,11.120000000000001
SH600765,0.007458665034,0.026776877145,0.033853880713,1.218,5.5583,7.753299999999999
SH600768,0.003855050116,0.01545597819,0.01545597819,0.5,1.5,1.5
SH600773,0.000991080278,0.0030004047840000003,0.004553074604,0.1,0.36,0.64
